Nr	time (min)	time (hr)	x [pixel]	y [pixel]	x [pixel]	x [µm]
128	1270	21.167	1274.167	432.833	-4.263	-13.157
129	1280	21.333	1280.167	432.833	1.737	5.361
130	1290	21.5	1282.167	433.167	3.737	11.534
131	1300	21.667	1277.5	433.167	-0.93	-2.87
132	1310	21.833	1274.167	433.167	-4.263	-13.157
133	1320	22	1279.5	433.167	1.07	3.302
134	1330	22.167	1276.5	432.833	-1.93	-5.957
135	1340	22.333	1279.833	432.833	1.403	4.33
136	1350	22.5	1276.5	432.833	-1.93	-5.957
137	1360	22.667	1282.5	432.833	4.07	12.562
138	1370	22.833	1277.833	432.833	-0.597	-1.843
139	1380	23	1275.5	432.833	-2.93	-9.043
140	1390	23.167	1278.5	432.833	0.07	0.216
141	1400	23.333	1283.167	432.833	4.737	14.62
142	1410	23.5	1277.833	432.833	-0.597	-1.843
143	1420	23.667	1274.833	432.833	-3.597	-11.102
144	1430	23.833	1279.5	433.5	1.07	3.302
145	1440	24	1282.167	433.5	3.737	11.534
146	1450	24.167	1276.833	433.5	-1.597	-4.929
147	1460	24.333	1285.5	433.5	7.07	21.821
148	1470	24.5	1279.5	434.167	1.07	3.302
149	1480	24.667	1275.833	434.167	-2.597	-8.015
150	1490	24.833	1280.5	434.167	2.07	6.389
151	1500	25	1285.5	434.167	7.07	21.821
152	1510	25.167	1282.167	433.167	3.737	11.534
153	1520	25.333	1278.833	433.167	0.403	1.244
154	1530	25.5	1277.167	433.167	-1.263	-3.898
155	1540	25.667	1279.5	433.167	1.07	3.302
156	1550	25.833	1278.833	433.167	0.403	1.244
157	1560	26	1280.833	433.167	2.403	7.417
158	1570	26.167	1282.833	433.167	4.403	13.59
159	1580	26.333	1282.833	433.167	4.403	13.59
160	1590	26.5	1281.167	433.167	2.737	8.448
161	1600	26.667	1283.167	433.167	4.737	14.62
162	1610	26.833	1283.833	432.833	5.403	16.676
163	1620	27	1280.5	432.833	2.07	6.389
164	1630	27.167	1280.167	433.167	1.737	5.361
165	1640	27.333	1283.167	433.167	4.737	14.62
166	1650	27.5	1280.833	433.167	2.403	7.417
167	1660	27.667	1274.833	433.167	-3.597	-11.102
168	1670	27.833	1280.167	433.167	1.737	5.361
169	1680	28	1279.167	433.167	0.737	2.275
170	1690	28.167	1275.167	432.833	-3.263	-10.071
171	1700	28.333	1277.167	432.833	-1.263	-3.898
172	1710	28.5	1281.833	432.833	3.403	10.503
173	1720	28.667	1278.5	432.833	0.07	0.216
174	1730	28.833	1276.167	432.833	-2.263	-6.985
175	1740	29	1279.5	432.833	1.07	3.302
176	1750	29.167	1276.833	432.833	-1.597	-4.929
177	1760	29.333	1272.833	432.833	-5.597	-17.275
178	1770	29.5	1276.167	432.833	-2.263	-6.985
179	1780	29.667	1277.833	432.833	-0.597	-1.843
180	1790	29.833	1272.5	432.833	-5.93	-18.302
181	1800	30	1274.5	432.833	-3.93	-12.13
182	1810	30.167	1277.833	432.833	-0.597	-1.843
183	1820	30.333	1281.5	432.167	3.07	9.475
184	1830	30.5	1278.833	432.167	0.403	1.244
185	1840	30.667	1275.5	432.167	-2.93	-9.043
186	1850	30.833	1280.5	432.167	2.07	6.389
187	1860	31	1278.167	432.167	-0.263	-0.812
188	1870	31.167	1275.833	432.167	-2.597	-8.015
189	1880	31.333	1272.167	432.167	-6.263	-19.33
190	1890	31.5	1275.833	432.167	-2.597	-8.015
191	1900	31.667	1278.167	432.167	-0.263	-0.812
192	1910	31.833	1280.833	431.833	2.403	7.417
193	1920	32	1277.167	431.833	-1.263	-3.898
194	1930	32.167	1280.167	431.833	1.737	5.361
195	1940	32.333	1274.5	431.833	-3.93	-12.13
196	1950	32.5	1277.833	431.833	-0.597	-1.843
197	1960	32.667	1279.167	431.833	0.737	2.275
198	1970	32.833	1274.5	431.833	-3.93	-12.13
199	1980	33	1272.167	431.833	-6.263	-19.33
200	1990	33.167	1276.833	431.833	-1.597	-4.929
201	2000	33.333	1280.167	431.833	1.737	5.361
202	2010	33.5	1276.167	431.833	-2.263	-6.985
203	2020	33.667	1272.833	431.833	-5.597	-17.275
204	2030	33.833	1276.167	431.833	-2.263	-6.985
205	2040	34	1277.833	431.833	-0.597	-1.843
206	2050	34.167	1279.167	431.833	0.737	2.275
207	2060	34.333	1276.167	431.833	-2.263	-6.985
208	2070	34.5	1278.167	431.833	-0.263	-0.812
209	2080	34.667	1274.833	431.833	-3.597	-11.102
210	2090	34.833	1273.167	431.833	-5.263	-16.244
211	2100	35	1277.5	431.833	-0.93	-2.87
212	2110	35.167	1279.5	431.833	1.07	3.302
213	2120	35.333	1276.167	431.833	-2.263	-6.985
214	2130	35.5	1277.5	431.5	-0.93	-2.87
215	2140	35.667	1278.833	431.5	0.403	1.244
216	2150	35.833	1278.167	431.5	-0.263	-0.812
217	2160	36	1276.167	431.5	-2.263	-6.985
218	2170	36.167	1276.833	432.167	-1.597	-4.929
219	2180	36.333	1278.833	432.167	0.403	1.244
220	2190	36.5	1276.833	432.167	-1.597	-4.929
221	2200	36.667	1277.167	432.167	-1.263	-3.898
222	2210	36.833	1278.833	432.167	0.403	1.244
223	2220	37	1280.167	432.167	1.737	5.361
224	2230	37.167	1276.833	432.167	-1.597	-4.929
225	2240	37.333	1274.833	432.167	-3.597	-11.102
226	2250	37.5	1277.5	432.167	-0.93	-2.87
227	2260	37.667	1281.167	432.167	2.737	8.448
228	2270	37.833	1279.167	432.167	0.737	2.275
229	2280	38	1276.5	432.5	-1.93	-5.957
230	2290	38.167	1280.833	432.167	2.403	7.417
231	2300	38.333	1278.167	432.833	-0.263	-0.812
232	2310	38.5	1274.167	432.833	-4.263	-13.157
233	2320	38.667	1284.167	433.167	5.737	17.707
234	2330	38.833	1280.5	433.167	2.07	6.389
235	2340	39	1274.167	432.833	-4.263	-13.157
236	2350	39.167	1282.833	432.833	4.403	13.59
237	2360	39.333	1278.833	432.833	0.403	1.244
238	2370	39.5	1276.5	432.833	-1.93	-5.957
239	2380	39.667	1279.833	432.833	1.403	4.33
240	2390	39.833	1275.833	432.833	-2.597	-8.015
241	2400	40	1278.5	433.167	0.07	0.216
242	2410	40.167	1276.833	433.167	-1.597	-4.929
243	2420	40.333	1274.5	433.167	-3.93	-12.13
244	2430	40.5	1280.167	433.167	1.737	5.361
245	2440	40.667	1277.5	433.167	-0.93	-2.87
246	2450	40.833	1278.833	433.167	0.403	1.244
247	2460	41	1275.833	433.167	-2.597	-8.015
248	2470	41.167	1278.833	433.167	0.403	1.244
249	2480	41.333	1281.5	433.5	3.07	9.475
250	2490	41.5	1279.5	433.5	1.07	3.302
251	2500	41.667	1277.167	433.5	-1.263	-3.898
252	2510	41.833	1276.167	433.5	-2.263	-6.985
253	2520	42	1281.167	433.5	2.737	8.448
254	2530	42.167	1278.5	433.5	0.07	0.216
255	2540	42.333	1277.5	433.5	-0.93	-2.87
256	2550	42.5	1281.167	433.5	2.737	8.448
257	2560	42.667	1278.167	433.5	-0.263	-0.812
258	2570	42.833	1278.833	434.167	0.403	1.244
259	2580	43	1281.5	434.167	3.07	9.475
260	2590	43.167	1276.5	434.167	-1.93	-5.957
261	2600	43.333	1275.5	434.167	-2.93	-9.043
262	2610	43.5	1279.167	434.167	0.737	2.275
263	2620	43.667	1280.5	434.5	2.07	6.389
264	2630	43.833	1282.167	434.5	3.737	11.534
265	2640	44	1280.5	434.5	2.07	6.389
266	2650	44.167	1277.167	434.5	-1.263	-3.898
267	2660	44.333	1280.167	434.5	1.737	5.361
268	2670	44.5	1281.5	434.5	3.07	9.475
269	2680	44.667	1280.167	434.5	1.737	5.361
270	2690	44.833	1281.833	434.5	3.403	10.503
271	2700	45	1278.833	434.167	0.403	1.244
272	2710	45.167	1275.5	434.167	-2.93	-9.043
273	2720	45.333	1279.5	434.167	1.07	3.302
274	2730	45.5	1281.5	434.167	3.07	9.475
275	2740	45.667	1278.833	434.167	0.403	1.244
276	2750	45.833	1278.167	433.5	-0.263	-0.812
277	2760	46	1280.167	433.5	1.737	5.361
278	2770	46.167	1280.833	433.5	2.403	7.417
279	2780	46.333	1278.5	433.5	0.07	0.216
280	2790	46.5	1281.833	433.5	3.403	10.503
281	2800	46.667	1285.833	434.833	7.403	22.849
282	2810	46.833	1275.833	434.167	-2.597	-8.015
283	2820	47	1281.167	434.167	2.737	8.448
284	2830	47.167	1283.167	434.167	4.737	14.62
285	2840	47.333	1280.167	434.167	1.737	5.361
286	2850	47.5	1273.833	434.167	-4.597	-14.188
